local_num,X_Coord,Y_Coord,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,hoCnt,kaptMarea,kaptTarea,age,kaptdaCnt,privArea,apt_elect_202001,apt_elect_202002,apt_elect_202003,apt_elect_202004,apt_elect_202005,apt_elect_202006,apt_elect_202007,apt_elect_202008,apt_elect_202009,apt_elect_202010,apt_elect_202011,apt_elect_202012,data_div_parea_elect_2020_average,pblntfPclnd,Grade,HGLG
352,128.5976365,35.87482983,계단식,개별난방,자치관리,분양,432,55192.6648,70774.95,19,432,44853.018,499.4549085,502.0520581,462.0554184,473.2245665,436.8555534,464.6643845,399.8691905,611.7646309,567.1620581,412.9287354,461.4715112,492.8413067,482.0286935,2202000,0.320564516,MID
353,129.0149953,35.24973233,계단식,개별난방,위탁관리,분양,590,49585.4,50494.59,35,590,43174.75,39.87330558,39.19582626,36.97323088,30.28344113,26.81150441,26.27021581,30.21673548,30.91042797,31.01025484,25.09499186,27.38799877,12.68542377,29.72611306,1100000,0.625,MID
354,127.148884,37.55454502,계단식,지역난방,위탁관리,임대,428,84802.35,85135.18,12,428,47692.48,710.1197296,660.7482563,682.4906778,625.9528756,642.3499051,713.1554073,713.6749861,1031.000275,656.5789827,655.1437459,705.3703225,786.9211247,715.2921907,5853000,0.0625,LG
355,129.3516212,36.02787445,계단식,개별난방,위탁관리,분양,384,48585.4,64031.373,12,384,37885.014,677.1450579,692.0818348,543.2797253,541.4241103,496.789047,502.702467,489.7044515,491.8134648,720.2504927,475.0960367,513.239879,543.6540158,557.2650486,743200,0.77016129,MID
356,127.071743,37.62294183,계단식,개별난방,위탁관리,분양,296,37760.69,51779.45,14,296,28772.72,622.5441321,539.2422406,522.6490231,504.8290534,514.267438,513.9148819,508.3439452,1023.635548,505.4209682,501.7108914,510.1858288,617.6523804,573.6996942,2438000,0.288306452,MID
357,126.8535494,35.5831595,혼합식,개별난방,위탁관리,분양,213,31616.1021,38380.8526,13,213,24424.0458,690.6619869,615.2682534,643.4282071,574.1743246,559.8216656,594.9415637,569.6717945,763.5696458,542.4486225,583.3517148,628.2534075,729.6936038,624.6070659,337400,0.9375,HG
358,127.1037654,35.80774987,혼합식,지역난방,위탁관리,분양,624,60679.32,62502.016,32,624,47119.8,471.3059054,483.2202174,443.2599459,459.0352676,421.5198282,427.3059308,414.9996392,422.7537044,598.796472,414.1407646,439.3480023,458.9051736,454.5492376,2920000,0.225806452,MID
359,127.6538963,34.77092765,계단식,지역난방,위탁관리,분양,368,59576.44,85566.873,12,368,48335.04,624.121962,610.5576824,606.9375343,490.3316517,487.6158166,95.66207042,555.6935507,113.0103544,55.24087701,68.92825577,115.5068869,68.31731183,324.3269962,3219000,0.197580645,LG
360,126.8462599,35.21123653,복도식,개별난방,위탁관리,분양,410,32939.84,33589.16,32,410,23729.03,470.8742835,484.6704648,409.7390412,437.1855908,389.0934438,415.3739112,373.2445026,501.5792892,564.8410407,374.9154517,408.5122738,431.594549,438.4686535,1076000,0.633064516,MID
361,126.9109684,37.4838366,계단식,개별난방,자치관리,분양,418,61961,75183,13,418,49131.5284,607.2878449,618.793695,551.9522979,582.2975782,543.0219834,591.1128952,549.8025581,930.2012677,781.8336056,528.5046251,574.0721064,607.3122692,622.1827272,724800,0.780241935,MID
