,apt_code,apt_name,X_Coord,Y_Coord,Count,bjdCode,도시형 생활주택,아파트,연립주택,주상복합,codeHallNm,분양,사택임대,영구국민임대,hoCnt,Priv/Ho,kaptDongCnt,kaptTarea,age,Temp_avg,Temp_min,Temp_max,kaptdaCnt,privArea,pblntfPclnd,Elec,Result
13051,A69993602,제주라온프라이빗에듀,127.049791,36.77391423,2,5013025029,0,0,1,0,계단식,1,0,0,420,71.35437476,21,40960.0675,7,16.75833333,13.96666667,19.95,420,29968.8374,658400,638.586139,7
13060,A10027932,새미래숲아파트,127.1775795,37.56699994,1,3020012000,0,1,0,0,계단식,1,0,0,655,56.77908397,6,76836.52,6,12.18333333,7.125,17.86666667,655,37190.3,1166000,589.9427001,0
13061,A12179501,상암휴먼시아2단지아파트,126.9314013,37.64907694,2,1144012700,0,1,0,0,혼합식,1,0,0,184,51.48065217,3,18957,12,12.71666667,8.758333333,17.19166667,184,9472.44,7151000,726.4084896,1
13062,A47275007,오남양지삼신15차,126.8890073,37.51426729,1,4136026221,0,1,0,0,계단식,1,0,0,348,74.18747126,3,36453,26,12.71666667,8.758333333,17.19166667,348,25817.24,1345000,520.25068,5
13065,A10028035,정읍대광로제비앙아파트,126.90521,35.13930143,2,4518010300,0,1,0,0,계단식,1,0,0,450,71.48386667,6,49655.333,7,13.56666667,9.275,18.74166667,450,32167.74,286700,630.1968473,1
13068,A10027999,상도코아루센트럴하임,128.4201151,34.87510272,2,4711110100,0,1,0,0,계단식,1,0,0,448,79.26342321,5,62294.0106,6,13.375,8.508333333,18.88333333,448,35510.0136,1218000,613.8066128,1
13070,A10027994,혁신도시 에코르3단지 아파트,127.1662312,37.23869113,3,4571033027,0,1,0,0,계단식,1,0,0,606,84.89817822,5,87011.741,6,13.56666667,9.275,18.74166667,606,51448.296,147900,538.0027066,0
13075,A10027946,강저코아루파크아파트,126.7635027,34.63739217,1,4315012100,0,1,0,0,계단식,1,0,0,422,79.99682464,6,49783.25,6,12.18333333,7.125,17.86666667,422,33758.66,371000,564.0913077,5
13077,A61282301,센텀마리나아파트,129.229712,35.87781565,2,2635010500,0,1,0,0,계단식,1,0,0,264,85.36393939,2,28708.228,28,13.975,9.283333333,19.525,264,22536.08,1302000,85.228217,4
13078,A10028014,에코하이츠,126.8916412,35.17158119,2,3114010900,0,1,0,0,계단식,1,0,0,499,67.06082164,7,58107.5549,6,13.975,9.283333333,19.525,499,33463.35,1061000,674.6181917,1
13081,A33176502,성정현대,127.3399351,37.65701781,1,4413310200,0,1,0,0,계단식,1,0,0,520,80.767,7,52272.48,31,12.63333333,7.8,18.24166667,520,41998.84,949900,460.9988038,4
13082,A50610004,선운이지더원2단지,128.555416,35.13705577,1,2920010700,0,1,0,0,계단식,1,0,0,378,77.38053175,6,52323.6934,7,14.16666667,10.1,18.8,378,29249.841,811400,624.9586679,1
